,company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance sheet,Company Status
0,RAKSHADHITYA COMPUTERS PRIVATE LIMITED,U30006TN1996PTC034986,RoC-Chennai,28/03/1996,"108,RAMANAICKEN STREET NUNGAMBAKKAM, MADRAS- Tamil Nadu INDIA 600034",₹ 200000,₹ 2000,,,DORMANT
1,WINNER ESTATES PRIVATE LIMITED,U74899DL1993PTC053145,RoC-Delhi,20/04/1993,"D-3/6,AURANGZEB ROAD NEW DELHI Delhi INDIA 110028",₹ 11000000,₹ 10769000,,,ACTIVE
2,KALIKAPUR NURSING HOME PRIVATE LIMITED,U74999WB2016PTC217184,RoC-Kolkata,18/08/2016,VILL-KALIKAPURPO KALIKAPUR 24 PGNS SOUTH KOLKATA Parganas South WB 743330 IN,₹ 3500000,₹ 100000,,,Active
3,GOMAS SYSTEMS AND CONTROLS PRIVATE LIMITED,U30009KA1988PTC009046,RoC-Bangalore,20/04/1988,"1014,10TH FLOOR, 'B' WING,6/47, MITTAL TOWER, M.G. ROAD, BANGALORE Karnataka INDIA 560001",₹ 50000000,₹ 48500000,,,ACTIVE
4,ELECTRICAL (SWITCH GEARS) PVT LTD,U29308UP1966PTC003121,RoC-Kanpur,02/06/1966,"C/191/192 INDUSTRIAL AREA,BULANDSHAHAR ROAD GHAZIABAD BULANDSHAHAR ROAD, GHAZIABAD Uttar Pradesh INDIA",₹ 400000,₹,,,STRIKE OFF
5,AQUA CLEAN SYSTEMS PRIVATE LIMITED,U29253PN2013PTC148037,RoC-Pune,08/07/2013,"Gat No.94/1,Jyotiba Nagar Talawade Pune Pune MH 411062 IN",₹ 100000,₹ 100000,30/09/2019,31/03/2019,Active
6,EMES BUSINESS SOLUTIONS PRIVATE LIMITED,U74140KL2012PTC031546,ROC-Ernakulam,29/06/2012,"House # 15/719A,Rose Gardens, P.O. Thiruvambady Thrissur,Kerala, India. Thrissur Kerala INDIA 680022",₹ 100000,₹ 100000,,,ACTIVE
7,VIDYA BHARATHI SURAKSHA,U85100KA2009NPL050097,RoC-Bangalore,10/06/2009,5/2 SHANKAR MUTT ROAD BASAVANAGUDI BANGALORE KA 560004 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
8,GOLF HI-TECH ENGINEERS PRIVATE LIMITED,U29306TZ1991PTC003313,RoC-Coimbatore,03/07/1991,"NO.345, NEHRU STREET RAM NAGAR COIMBATORE Tamil Nadu INDIA 641009",₹ 2500000,₹,,,STRIKE OFF
9,J.T.ELECTRONICS LIMITED,U32300KA1990PLC011144,RoC-Bangalore,16/08/1990,"48B & C, KIADB INDUSTRIAL AREABASETTYHALLI, DODABALLAPUR BANGALORE Karnataka INDIA 562103",₹ 5000000,₹ 4000,,,AMALGAMATED
10,GNB TECHNOLOGIES (INDIA) PRIVATE LIMITED,U31109KA1997PTC022384,RoC-Bangalore,13/06/1997,"N-47, 1st floor, 9th B Main, LIC Colony, Jeevanbimanagar, Bangalore Karnataka INDIA 560075",₹ 100000000,₹ 80184180,,,ACTIVE
11,GREEN LED TECHNOLOGY PRIVATE LIMITED,U31501MH2009PTC192563,RoC-Mumbai,22/05/2009,115 MASKATI MAHAL LOHAR CHAWL MUMBAI MH 400002 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
12,SWING ELECTRONICS PVT LTD,U29308UP1982PTC005856,RoC-Kanpur,01/12/1982,"21, SHIVAJI ROAD, MEERUT 21, SHIVAJI ROAD, MEERUT Uttar Pradesh INDIA",₹ 300000,₹,,,STRIKE OFF
13,L.K. MACHINERY INDIA PRIVATE LIMITED,U29253PN2012FTC144876,RoC-Pune,28/09/2012,GAT NO 17 OPP. VOLKSWAGEN DISPATCH GATE CHAKAN MIDC PH-III VILLAGE NIGHOJE TAL-KHED PUNE Pune MH 410501 IN,₹ 40000000,₹ 38954640,30/09/2016,31/03/2016,Active
14,GRANDEUR AUTOMOTIVE PRIVATE LIMITED,U29253PN2013PTC148095,RoC-Pune,12/07/2013,S NO 75/2/2 NAVALE WASTI TATHWADE PUNE Pune MH 411027 IN,₹ 100000,₹ 100000,,,Strike Off
15,KARMA SYSTECH LIMITED,U74999WB2008PLC125023,RoC-Kolkata,17/04/2008,3 HAREN MUKHERJEE ROAD BELURMATH HOWRAH WB 711202 IN,₹ 1000000,₹ 1000000,21/09/2017,31/03/2017,Active
16,QMARZ MACHINE TOOLS PRIVATE LIMITED,U29253TN2010PTC077755,RoC-Chennai,20/10/2010,337/6 New sunshine Apartments 2nd Floor 2nd Ave Annanagar Chennai Chennai TN 600040 IN,₹ 500000,₹ 300000,28/09/2011,31/03/2011,Active
17,JORSS RUBBER POLYMERS PRIVATE LIMITED,U25209MH2017PTC294427,RoC-Mumbai,28/04/2017,Flat No.C-1 Gokuldham Soc. White Bridge Mohile Village Krishna Nagar Andheri-E Mumbai Mumbai City MH 400072 IN,₹ 1000000,₹ 100000,,,Active
18,ARYAMAN MERCANTILES PRIVATE LIMITED,U51109WB2008PTC127872,RoC-Kolkata,25/07/2008,2 GIRISH GHOSH ROAD BELUR HOWRAH WB 711202 IN,₹ 200000,₹ 100000,23/09/2017,31/03/2017,Active
19,BIRLA CARPETS AND GRASS PRIVATE LIMITED,U17226MH2006PTC165055,RoC-Mumbai,04/10/2006,1ST FLOOR DALAMAL HOUSE 206 J.B.MARG NARIMAN POINT MUMBAI MH 400021 IN,₹ 100000,₹ 100000,30/09/2013,31/03/2013,Under Process of Striking Off
20,MATIARI ENGG WORKS PVT LTD,U29301WB1955PTC022160,RoC-Kolkata,16/02/1955,P O MATIARI NADIA West Bengal INDIA,₹ 20000,₹ 6000,,,STRIKE OFF
21,PUNIT ENGINEERING PVT LTD,U29259GJ1994PTC023835,RoC-Ahmedabad,12/12/1994,"201,ROYAL COMPLEX,BHUTKHANACHOWK,DHEBAR ROAD RAJKOT. Gujarat INDIA",₹ 500000,₹,,,STRIKE OFF
22,JAYSAR TEXTILE PRINTS PRIVATE LIMITED,U29308UP1983PTC005956,RoC-Kanpur,05/02/1983,227 H I GRATAN LAL NAGAR KANPUR U P Uttar Pradesh INDIA,₹ 4950000,₹ 4375000,,,ACTIVE
23,MECHSYS AUTOMATION TECHNOLOGIES PRIVATE LIMITED,U29299KA2008PTC045213,RoC-Bangalore,08/02/2008,Plot No 445 II Stage Sompura Industrial Area LakshmanapuraThyamagondlu HobliTaluk Nelamangala Sompura Thyamagondlu Bangalore Rural KA 562132 IN,₹ 2000000,₹ 2000000,30/09/2016,31/03/2016,Active
24,HANCOCK OPEX PRIVATE LIMITED,U29253PN2012PTC145331,RoC-Pune,06/11/2012,OFFICE NO. 503 5TH FLOOR PENTAGON TOWER I SURVEY NO. MPT 12 MAGARPATTA TOWNSHIP PUNE Pune MH 411028 IN,₹ 100000,₹ 100000,,,Strike Off
25,LANSDOWNE VACATION HOMES PRIVATE LIMITED,U55209DL2017PTC324449,RoC-Delhi,03/10/2017,FLAT NO. C-73AIR INDIA EMPLOYEES CGHS LTD SECTOR-3DWARKA NEW DELHI South West Delhi DL 110078 IN,₹ 1000000,₹ 100000,,,Active
26,MARS ELECTRONICS AND ELECTRICALS PRIVATE LIMITED,U29308UP1987PTC008998,RoC-Kanpur,18/09/1987,"7,KIRAN ENCLAVE G T ROADGHAZIABAD GHAZIABAD UTTAR PRADESH Uttar Pradesh INDIA",₹ 500000,₹ 4000,,,STRIKE OFF
27,DAS TECHNALL PRIVATE LIMITED,U74140WB1998PTC087797,RoC-Kolkata,25/08/1998,27/9C CHANDI GHOSH ROAD KOLKATA West Bengal INDIA 700040,₹ 500000,₹ 100000,,,STRIKE OFF
28,HITECH POWER CONTROLS PRIVATE LIMITED,U29308UP1988PTC009468,RoC-Kanpur,24/03/1988,"C-411,NIRALA NAGARFAIZABAD ROAD LUCKNOW UTTAR PRADESH Uttar Pradesh INDIA",₹ 200000,₹ 5000,,,STRIKE OFF
29,G.L.S. DEVELOPERS PRIVATE LIMITED,U70102KA1996PTC020223,RoC-Bangalore,04/04/1996,"T-11, PAMADI CHAMBERS,120, DVG ROAD, BASAVANGUDI, BANGALORE-4 BANGALORE Karnataka INDIA",₹ 2000000,₹ 15000,,,DORMANT
30,PRAXIS E INNOVATIONS PRIVATE LIMITED,U32300HR2010PTC040651,RoC-Delhi,07/06/2010,SCO : 12 1ST FLOOR GANPATI MARKET SUBZI MANDI ROAD KARNAL Karnal HR 132001 IN,₹ 100000,₹ 100000,29/09/2012,31/03/2012,Strike Off
31,MARUDHAR POLYSACKS PRIVATE LIMITED,U25202RJ2010PTC032465,RoC-Jaipur,28/07/2010,F-300 MARUDHAR PLAZA NEW SANAGANER ROAD SHYAM NAGAR JAIPUR RJ 302019 IN,₹ 17000000,₹ 16500000,29/09/2016,31/03/2016,Active
32,D2F REAL ESTATE PRIVATE LIMITED,U70109DL2012PTC235195,RoC-Delhi,02/05/2012,D-1790 FIRST FLOOR JAHANGIR PURI DELHI North West DL 110033 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
33,TRACK DATASYSTEMS PRIVATE LIMITED,U30007MH2003PTC142461,RoC-Mumbai,01/10/2003,FLAT NO 8 SAI DHARASECTOR 30 VASHI NEW MUMBAI Maharashtra INDIA 400705,₹ 100000,₹ 100000,,,ACTIVE
34,MECHTRON AUTOMATION & CONTROL PRIVATE LIMITED,U29253TN2008PTC070236,RoC-Chennai,19/12/2008,NO:79/13 MOGAPPAIR ROAD MANNURPETPADI CHENNAI Chennai TN 600050 IN,₹ 500000,₹ 0,,,Strike Off
35,PRERAK INVESTMENT SERVICES PRIVATE LIMITED,U74140MH2006PTC164802,RoC-Mumbai,21/09/2006,"TARDEO AIR CONDITIONING MARKET, 4TH FLOOR, ROOM NO. 42 MUMBAI Maharashtra INDIA 400034",₹ 100000,₹ 100000,,,ACTIVE
36,LAZIZ CERAMICS PRIVATE LIMITED,U26933GJ2010PTC063337,RoC-Ahmedabad,22/12/2010,A/9 ANUPAM COLONY OPP. CHIRAG DIAMOND LBS ROAD BAPUNAGAR AHMEDABAD GJ 380024 IN,₹ 1000000,₹ 100000,30/09/2017,31/03/2017,Active
37,DAYMEN INFRA PRIVATE LIMITED,U74999DL2018PTC330723,RoC-Delhi,12/03/2018,D-64 GROUND FLOOR KALKAJI NEW DELHI South Delhi DL 110019 IN,₹ 100000,₹ 100000,,,Active
38,KATALYST HOSPITALITY PRIVATE LIMITED,U55101TG2012PTC079003,RoC-Hyderabad,08/02/2012,1-90/7 MADHAPUR MAIN ROAD BELOW ANDHRA BANK MADHAPUR HYDERABAD Hyderabad TG 500081 IN,₹ 100000,₹ 100000,,,Strike Off
39,SRI VEDIC PRATISTHAN PRIVATE LIMITED,U74900DL2013PTC250563,RoC-Delhi,10/04/2013,H.NO.-158 SECOND FLOOR GUJJAR DAIRY GAUTAM NAGAR NEW DELHI South Delhi DL 110049 IN,₹ 100000,₹ 100000,,,Strike Off
40,MAVERICK INFRATECH PRIVATE LIMITED,U45400WB2014PTC201815,RoC-Kolkata,21/05/2014,50A RAJANABA KRISHNA STREET KOLKATA Kolkata WB 700005 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
41,MADRAS LAMPS PRIVATE LIMITED,U29301TN1985PTC011723,RoC-Chennai,08/04/1985,"67, GANGADGARESWARAR KOIL ST.,PURASAWALKAM MADRAS-84 PURASAWALKAM, MADRAS-84 Tamil Nadu INDIA",₹ 5000000,₹ 1500,,,UNDER LIQUIDATION
42,K.L. COTTON TEXTILES PRIVATE LIMITED,U74899DL1995PTC066971,RoC-Delhi,30/03/1995,"Y-27, HAUZ KHAS NEW DELHI Delhi INDIA",₹ 7500000,₹ 7133000,,,ACTIVE
43,UNISSI (INDIA) PVT. LTD.,U33119HR1986PTC025632,RoC-Delhi,01/10/1986,"153, UDYOG VIHAR, PHASE IGURGAON Haryana INDIA",₹ 7500000,₹ 6460500,,,ACTIVE
44,DRARC DEVELOPERS PRIVATE LIMITED,U29268GJ2015PTC085386,RoC-Ahmedabad,15/12/2015,6 Ajnesh Appartment Jolly Park Society Kankaria Ahmedabad Ahmedabad GJ 380022 IN,₹ 100000,₹ 100000,09/09/2017,31/03/2017,Active
45,VASANTHI PRE-ENGINEERING BUILDING SYSTEMS PRIVATE LIMITED,U29253TG2012PTC082379,RoC-Hyderabad,08/08/2012,Plot No: D 113/Part Phase-I IDA Jeedimetla Hyderabad Hyderabad TG 500055 IN,₹ 3500000,₹ 3000000,30/09/2016,31/03/2016,Active
46,SWACH FOODS SPECIALITIES PRIVATE LIMITED,U15205HR2013PTC048448,RoC-Delhi,28/02/2013,BY PASS HISAR ROAD TOHANA Fatehabad HR 125120 IN,₹ 1000000,₹ 100000,30/09/2015,31/03/2015,Active
47,ORBIT ANALYTICS PRIVATE LIMITED,U29253TG2009PTC064131,RoC-Hyderabad,25/06/2009,B50 INDUSTRIAL ESTATE SANATH NAGAR HYDERABAD TG 500018 IN,₹ 2500000,₹ 100000,29/09/2014,31/03/2014,Strike Off
48,PRAGO CHEM PRIVATE LIMITED,U24200DL2013PTC249547,RoC-Delhi,19/03/2013,C-10/53 GFBLOCK-C PKT-10ROHINISECTOR-15 NEW DELHI North West DL 110089 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
49,RED SQUARE PROFESSIONAL SERVICES PRIVATE LIMITED,U74140JH2014PTC002482,RoC-Jharkhand,11/11/2014,HOLDING NO - 6 CROSS ROAD NO - 2 DAIGUTTU MANGO JAMSHEDPUR Purba Singhbhum JH 832110 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
50,SHIVALIK REALTY ESTATE PRIVATE LIMITED,U45201GJ2007PTC052430,RoC-Ahmedabad,26/12/2007,1ST FLOOR S. N. HOUSE OPP. ROCK REGENCY HOTEL OFF C. G. ROAD AHMEDABAD GJ 380006 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
51,NILA EQUIPMENTS PRIVATE LIMITED,U29253TN2010PTC077017,RoC-Chennai,16/08/2010,PLOT NO : 339 SIDCO INDUSTRIAL ESTATE THIRUMULLAIVOYAL - WOMEN INDUSTRIAL PARK KATTUR CHENNAI TN 600062 IN,₹ 500000,₹ 500000,30/09/2013,31/03/2013,Active
52,KOSMOS R O SYSTEM PRIVATE LIMITED,U28931DL2012PTC240970,RoC-Delhi,24/08/2012,C-115 &amp; 116 Local Shoping Centre Block-C Vikash Puri Delhi West Delhi DL 110018 IN,₹ 100000,₹ 100000,,,Strike Off
53,SIRO ACCESSORIES INDIA PRIVATE LIMITED,U51310WB2020PTC237131,RoC-Kolkata,29/04/2020,"67,BHUPEN ROY ROAD KOLKATA Kolkata WB 700034 IN",₹ 100000,₹ 100000,,,Active
54,GEARS & MACHINERY INTERNATIONAL PRIVATE LIMITED,U29268JH1973PTC001016,RoC-Jharkhand,04/07/1973,"POST BOX NO.15, BOKARO STEELCITY, DHANBAD DHANBAD Jharkhand INDIA",₹ 3500000,₹ 1562000,,,UNDER PROCESS OF STRIKING OFF
55,PREMAL CONSULTANTS PRIVATE LIMITED,U74140PN1991PTC062403,RoC-Pune,08/07/1991,"E-2 MEGHANA PATS, BANER ROAD PUNE Maharashtra INDIA 411007",₹ 100000,₹ 100000,,,STRIKE OFF
56,ANVITA OMNINEKTO INDIA PRIVATE LIMITED,U74999KA2017PTC101289,RoC-Bangalore,10/03/2017,#428 JAGRUTI 1ST FLOOR11TH CROSS RASHI RESIDENCY PHASE -II KADABAGERE MAGADI ROAD BENGALURU Bangalore KA 562130 IN,₹ 100000,₹ 100000,,,Active
57,S AND J DIAMOND PRIVATE LIMITED,U29290MH1976PTC019213,RoC-Mumbai,10/09/1976,"FC8101 , MILAN MEHTA , BHARAT DIAMOND BOURSE , BANDRA KURLA COMPLEX MUMBAI Maharashtra INDIA 400051",₹ 300000,₹ 100000,,,ACTIVE
58,NADA HEAVY EQUIPMENT SPARES PRIVATE LIMITED,U29253TG2012PTC080118,RoC-Hyderabad,03/04/2012,8-2-80 Flat No.203 Moghal Mayuri Apartments Near old checkpost Chintalkunta Hyderabad Hyderabad TG 500074 IN,₹ 100000,₹ 100000,,,Strike Off
59,BHARTIYA CONSULTECH P.LTD.,U74140PN1993PTC073426,RoC-Mumbai,12/08/1993,"7 CHINAR NEAR AGRICULTURECOLLEGE,SHIVAJINAGAR PUN-5. PUNE - 411 005. Maharashtra INDIA",₹ 1000000,₹,,,DORMANT
60,GENII SECURE TECHNOLOGIES PRIVATE LIMITED,U29253TG2009PTC062917,RoC-Hyderabad,27/02/2009,3-9-113 ANJAYA GARDENOPP RADHIKA COLONY WEST MAREDPALLY NEAR POLICE STATION SECUNDERABAD Hyderabad TG 500026 IN,₹ 100000,₹ 100000,,,Strike Off
61,SRPL INFRASTRUCTURE PRIVATE LIMITED,U01403GJ2008PTC054014,RoC-Ahmedabad,26/05/2008,House No-1 Sigma Commerzon B/H- Gallops Mall Aambli Bopal Road Satellilte Ahmedabad GJ 380015 IN,₹ 1000000,₹ 1000000,30/09/2016,31/03/2016,Active
62,ANUBHUTI TECHNOBUILD PRIVATE LIMITED,U45201DL2006PTC147581,RoC-Delhi,16/03/2006,E 45/1RAJ NAGAR PALAM COLONY NEW DELHI DL 110045 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
63,OPUS DEI LOGISTICS (INDIA) PRIVATE LIMITED,U74900MH2010PTC204784,RoC-Mumbai,24/06/2010,610-611 Nirmal Galaxy Avior L.B.S.Marg Mulund Mumbai Mumbai City MH 400080 IN,₹ 5000000,₹ 4000000,30/09/2016,31/03/2016,Active
64,PARTH AGRIAGENCIES PRIVATE LIMITED,U74999DL2017PTC319565,RoC-Delhi,22/06/2017,HOUSE NO 11/6 FLOOR 3RD BLOCK-A RANA PRATAP BAGH DELHI North Delhi DL 110007 IN,₹ 100000,₹ 100000,,,Active
65,MONARK INFRASPACE PRIVATE LIMITED,U45200GJ2012PTC069094,RoC-Ahmedabad,17/02/2012,G-908 9TH FLOOR TITANIUM CITY CENTRE 100 FEET ANANDNAGAR ROAD AHMEDABAD Ahmedabad GJ 380015 IN,₹ 5000000,₹ 100000,29/09/2017,31/03/2017,Active
66,HARWELL LIFESCIENCES PRIVATE LIMITED,U74999KA2017PTC101267,RoC-Bangalore,10/03/2017,NO.22/39 2ND FLOOR 13TH CROSS 6TH MAIN MAHALAKSHMI LAYOUT BANGALORE Bangalore KA 560086 IN,₹ 500000,₹ 500000,,,Active
67,SLINOX EXPORTS PRIVATE LIMITED,U74140DL2011PTC217719,RoC-Delhi,18/04/2011,SU-117 PITAMPURA DELHI DL 110088 IN,₹ 1000000,₹ 100000,12/08/2017,31/03/2017,Active
68,VIZRONIK COMPONENTS(INDIA) PRIVATE LIMITED,U31909KA1972PTC002217,RoC-Bangalore,01/07/1972,"#159, 6th Cross, I N Block Rajajinagar Bangalore Karnataka INDIA 560010",₹ 3000000,₹ 1690000,,,ACTIVE
69,SURYA LAMPS PRIVATE LIMITED,U29308UP1982PTC005552,RoC-Kanpur,09/02/1982,12 NEEM CHAURACHANAVAL ASHRAM FIROZABAD UTTAR PRADESH Uttar Pradesh INDIA,₹ 1500000,₹ 2000,,,STRIKE OFF
70,TEK TECHNOLOGIES PRIVATE LIMITED,U29299PN2005PTC020754,RoC-Pune,18/05/2005,"49/2, INDURLOK, TADIWALA ROAD PUNE Maharashtra INDIA 411001",₹ 500000,₹ 100000,,,STRIKE OFF
71,WELLSPRIT REALCON PRIVATE LIMITED,U70109WB2012PTC183181,RoC-Kolkata,27/06/2012,11 CROOKED LANE GROUND FLOOR KOLKATA WB 700069 IN,₹ 100000,₹ 100000,29/09/2017,31/03/2017,Active
72,RAMVEER SOFTECH PRIVATE LIMITED,U74899DL2005PTC143630,RoC-Delhi,13/12/2005,H N0 236BLOCK 19 TRILOKPURI NEW DELHI Delhi INDIA 110091,₹ 400000,₹ 100000,,,ACTIVE
73,VPS TEFCONS PRIVATE LIMITED,U74140TN1993PTC025052,RoC-Chennai,14/05/1993,1 VIDWAN SUNDARAM STREET NUNGAMBAKKAM MADRAS Tamil Nadu INDIA 600034,₹ 20000,₹,,,STRIKE OFF
74,DELTOP ENTERPRISES PRIVATE LIMITED,U74899DL1995PTC072590,RoC-Delhi,20/09/1995,"S-100, FIEE OKHLA INDUSTRIAL AREA PHASE-II NEW DELHI Delhi INDIA 110020",₹ 11000000,₹ 10602000,,,ACTIVE
75,RMATRA PRODUCT INDIA PRIVATE LIMITED,U96000DL2010PTC211131,RoC-Delhi,06/12/2010,463-464 SECOND FLOOR DOUBLE STOREY NEW RAJINDER NAGAR Central Delhi DL 110060 IN,₹ 2500000,₹ 100000,,,Under Process of Striking Off
76,ANP PHARMA PRIVATE LIMITED,U74900MH2010PTC204774,RoC-Mumbai,24/06/2010,A 401 Usha Nagar Chs Ltd Cheda Road Near Saraswat Colony Dombivli Thane Thane MH 421201 IN,₹ 100000,₹ 100000,30/09/2017,31/03/2017,Active
77,SHIKSHA SAMADHAN PRIVATE LIMITED,U74140JH2014PTC002230,RoC-Jharkhand,21/07/2014,NEW NAGAR BHANDGARI DIPATOLI RANCHI Ranchi JH 834009 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
78,VULCAN AUTOMOTIVE PRIVATE LIMITED,U29268HR2006PTC036479,RoC-Delhi,05/12/2006,Plot No. 388 Sector-24 Faridabad HR 121005 IN,₹ 25000000,₹ 23767000,26/09/2016,31/03/2016,Active
79,BHANUKIRAN CONSTRUCTION PROJECTS PRIVATE LIMITED,U45209TG2011PTC075894,RoC-Hyderabad,09/08/2011,3-5-18/11FLAT NO 101 VENKATESWARA PLAZA OPP. SUMITRA NAGAR BUS STOP NH9 KUKATPALLY HYDERABAD Hyderabad TG 500072 IN,₹ 5000000,₹ 100000,,,Active
80,BOLDSKY MEDIA SOLUTIONS PRIVATE LIMITED,U74999DL2018PTC330745,RoC-Delhi,12/03/2018,J-6/91- M G SHOP NO. 1-A NEHRU MARKET RLOOR RAJOURI GARDEN NEW DELHI West Delhi DL 110027 IN,₹ 100000,₹ 100000,,,Active
81,NAYA MANCH VIKAS MANCH FOUNDATION,U74999DL2018NPL329840,RoC-Delhi,22/02/2018,A-1/131A JANTA FLATS PASCHIM VIHAR West Delhi DL 110063 IN,₹ 100000,₹ 100000,,,Active
82,KSU BRANDING BHAI PRIVATE LIMITED,U74999DL2017PTC319531,RoC-Delhi,21/06/2017,G-45 Ground Floor Lajpat Nagar 1 New Delhi South Delhi DL 110024 IN,₹ 100000,₹ 100000,,,Active
83,SAI AUTO STAMPINGS PRIVATE LIMITED,U29253PN2011PTC140628,RoC-Pune,05/09/2011,PLOT NO. 126 SECTOR NO. 7PCNTDA MIDC BHOSARI PUNE MH 411026 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Under Process of Striking Off
84,AVANCAR BROADCASST MEDIA PRIVATE LIMITED,U74120UP2011PTC047385,RoC-Kanpur,11/11/2011,9-A Highway Plaza Opp. Sardar Patel Dental College Raibareli Road Lucknow UP 226014 IN,₹ 100000,₹ 100000,30/09/2016,31/03/2016,Active
85,DOFW CONSULTING SERVICES PRIVATE LIMITED,U74140MH2006PTC164676,RoC-Mumbai,16/09/2006,C-304 PREMA SADAN RATAN NAGAR FOUR BUNGLOWS ANDHERI (WEST) MUMBAI MH 400058 IN,₹ 100000,₹ 100000,30/09/2008,31/03/2008,Strike Off
86,R. S. FASTENERS INDIA PRIVATE LIMITED,U28112PB2012PTC036283,RoC-Chandigarh,25/05/2012,3062 ST.NO.12 NEW JANTA NAGAR LUDHIANA Ludhiana PB 141001 IN,₹ 100000000,₹ 93131000,,,Active
87,AMBADEEP FABRICATORS PRIVATE LIMITED,U74899DL1993PTC053045,RoC-Delhi,13/04/1993,"D-311, SARVODAYA ENCLAVE, NEW DELHI Delhi INDIA",₹ 2500000,₹ 340000,,,ACTIVE
88,MAHALUXMI INFRABUILD PRIVATE LIMITED,U70109WB2011PTC156698,RoC-Kolkata,05/01/2011,9B BIDHAN SARANI KOLKATA WB 700006 IN,₹ 15000000,₹ 12680000,30/09/2016,31/03/2016,Active
89,SPECIAL FASTENERS PRIVATE LIMITED,U74900DL1986PTC024779,RoC-Delhi,09/07/1986,"L-40,CONNAUGHT CIRCUS NEW DELHI Delhi INDIA",₹ 500000,₹ 2000,,,ACTIVE
90,GEOSTRUCT ENGINEERING PVT LTD,U29259GJ1991PTC015681,RoC-Ahmedabad,17/05/1991,"8, SAHJANAND INDUST. ESTATEOPP. COMPACT PLAN PADRA ROAD BARODA Gujarat INDIA",₹ 500000,₹ 2000,,,DORMANT
91,C & K PLAST COMPONENTS PRIVATE LIMITED,U25200DL2015PTC286565,RoC-Delhi,19/10/2015,A-196 SECOND FLOOR NEW ASHOK NAGAR DELHI New Delhi DL 110096 IN,₹ 100000,₹ 100000,,,Active
92,ARITA ENGINERING PRIVATE LIMITED,U74140WB1998PTC087746,RoC-Kolkata,18/08/1998,28/20 STATION ROAD DHAKURIA KOLKATA West Bengal INDIA 700031,₹ 500000,₹ 30000,,,STRIKE OFF
93,EXPONUS EVENTS PRIVATE LIMITED,U74999DL2017PTC322196,RoC-Delhi,16/08/2017,B-9/6319 VASANT KUNJ NEW DELHI South Delhi DL 110070 IN,₹ 200000,₹ 100000,,,Active
94,PUSTAK MANDIR PVT LTD,U29294OR1991PTC002782,RoC-Cuttack,25/03/1991,SECTOR 18MARKET BUILDING ROURKELA Orissa INDIA,₹ 10000000,₹ 3980000,,,ACTIVE
95,S S R MANAGEMENT CONSULTANTS PRIVATE LIMITED,U74140WB1998PTC087959,RoC-Kolkata,17/09/1998,8/2 KIRON SANKAR ROY ROAD KOLKATA West Bengal INDIA 700001,₹ 10000000,₹ 7216000,,,ACTIVE
96,MASONS KWALITY DEVELOPERS PRIVATE LIMITED,U74899DL1995PTC066979,RoC-Delhi,31/03/1995,B 7/64 SAFDARJUNG ENCLAVE NEW DELHI Delhi INDIA 110029,₹ 100000,₹ 4400,,,STRIKE OFF
97,K.S RICE-TEC MILLING EQUIPMENT PRIVATE LIMITED,U29253TN2010PTC074256,RoC-Chennai,13/01/2010,H-57/T1 MARUDAM APARTMENTS THIRUVALLUVAR NAGAR THIRUVANMIYUR CHENNAI TN 600041 IN,₹ 500000,₹ 500000,30/09/2016,31/03/2016,Active
98,SDSK CONSULTANTS PRIVATE LIMITED,U93000KA2015PTC081587,RoC-Bangalore,15/07/2015,NO 328 AKASH DEEP 1ST FLOOR INDIRANAGAR 1ST STAGE BEHIND VIJAYA BANK BENGALURU Bangalore KA 560038 IN,₹ 400000,₹ 100000,,,Active
99,RAVINDRA ENGINEERING AND CHEMICALS PRIVATE LIMITED,U29290MH1974PTC017715,RoC-Mumbai,24/08/1974,105 INDO SAIGON INDUSTRIAL-ESTATE MAROL NAKA ANDHERI (EAST) MUMBAI Maharashtra INDIA 400059,₹ 2500000,₹ 1111000,,,ACTIVE
100,GREY GASTON FARMS PRIVATE LIMITED,U74899DL1994PTC063272,RoC-Delhi,07/12/1994,D-7/6 VASANT VIHAR NEW DELHI Delhi INDIA,₹ 1000000,₹ 1000000,,,ACTIVE
101,ARYAN HI-RISE PRIVATE LIMITED,U70102WB2009PTC135585,RoC-Kolkata,02/06/2009,15 PARK STEET KOLKATA WB 700016 IN,₹ 1000000,₹ 100000,28/09/2016,31/03/2016,Active
102,NOVAC CAPITAL MANAGEMENT PRIVATE LIMITED,U74140KL2012PTC031943,ROC-Ernakulam,21/08/2012,"Door No.VIII/147/42, 5th FLOOR - 'SUN TOWER' THRISSUR EAST FORT.P.O. THRISSUR Kerala INDIA 680005",₹ 100000,₹ 100000,,,UNDER PROCESS OF STRIKING OFF
